id	author	title	date	words	sentences	pages	flesch	cache	txt	summary
homer-iliad-850_01		homer-iliad-850_01		5850	232		79	./cache/homer-iliad-850_01.txt	./txt/homer-iliad-850_01.txt	On this the rest of the Achaeans with one voice were for respecting the priest and taking the ransom that he offered; but not so Agamemnon, who spoke fiercely to him and sent him roughly away." Old man," said he," let me not find you tarrying about our ships, nor yet coming hereafter. And Achilles answered," Fear not, but speak as it is borne in upon you from heaven, for by Apollo, Calchas, to whom you pray, and whose oracles you reveal to us, not a Danaan at our ships shall lay his hand upon you, while I yet live to look upon the face of the earth-no, not though you name Agamemnon himself, who is by far the foremost of the Achaeans."
homer-iliad-850_02		homer-iliad-850_02		7966	309		76	./cache/homer-iliad-850_02.txt	./txt/homer-iliad-850_02.txt	Jove sends a lying dream to Agamemnon, who thereon calls the chiefs in assembly, and proposes to sound the mind of his army--In the end they march to fight--Catalogue of the Achaean and Trojan forces. But Juno said to Minerva," Alas, daughter of aegisbearing Jove, unweariable, shall the Argives fly home to their own land over the broad sea, and leave Priam and the Trojans the glory of still keeping Helen, for whose sake so many of the Achaeans have died at Troy, far from their homes? Those who held the strong city of Mycenae, rich Corinth and Cleonae; Orneae, Araethyrea, and Licyon, where Adrastus reigned of old; Hyperesia, high Gonoessa, and Pellene; Aegium and all the coastland round about Helice; these sent a hundred ships under the command of King Agamemnon, son of Atreus.
homer-iliad-850_03		homer-iliad-850_03		4055	154		77	./cache/homer-iliad-850_03.txt	./txt/homer-iliad-850_03.txt	He bids the Trojans and Achaeans lay their armour upon the ground, while he and Menelaus fight in the midst of you for Helen and all her wealth. He went up to Priam and said," Son of Laomedon, the princes of the Trojans and Achaeans bid you come down on to the plain and swear to a solemn covenant. Then Priam, descendant of Dardanus, spoke, saying," Hear me, Trojans and Achaeans, I will now go back to the windbeaten city of Ilius: I dare not with my own eyes witness this fight between my son and Menelaus, for Jove and the other immortals alone know which shall fall." Menelaus next took aim, praying to Father Jove as he did so." King Jove," he said," grant me revenge on Alexandrus who has wronged me; subdue him under my hand that in ages yet to come a man may shrink from doing ill deeds in the house of his host."
homer-iliad-850_04		homer-iliad-850_04		5094	174		74	./cache/homer-iliad-850_04.txt	./txt/homer-iliad-850_04.txt	A quarrel in Olympus--Minerva goes down and persuades Fandarus to violate the oaths by wounding Menelaus with an arrow--Agamemnon makes a speech and sends for Machaon--He then goes about among his captains and upbraids Ulysses and Sthenelus, who each of them retort fiercely--Diomed checks Sthenelus, and the two hosts then engage, with great slaughter on either side. Presently he found standing amid the brave warriors who had followed him from Tricca; thereon he went up to him and said," Son of Aesculapius, King Agamemnon says you are to come and see Menelaus immediately. He gave his orders to the knights first, bidding them hold their horses well in hand, so as to avoid confusion." Let no man," he said," relying on his strength or horsemanship, get before the others and engage singly with the Trojans, nor yet let him lag behind or you will weaken your attack; but let each when he meets an enemy ''s chariot throw his spear from his own; this be much the best; this is how the men of old took towns and strongholds; in this wise were they minded."
homer-iliad-850_05		homer-iliad-850_05		8656	303		74	./cache/homer-iliad-850_05.txt	./txt/homer-iliad-850_05.txt	Idaeus did not dare to bestride his brother ''s body, but sprang from the chariot and took to flight, or he would have shared his brother ''s fate; whereon Vulcan saved him by wrapping him in a cloud of darkness, that his old father might not be utterly overwhelmed with grief; but the son of Tydeus drove off with the horses, and bade his followers take them to the ships. Venus screamed aloud, and let her son fall, but Phoebus Apollo caught him in his arms, and hid him in a cloud of darkness, lest some Danaan should drive a spear into his breast and kill him; and Diomed shouted out as he left her," Daughter of Jove, leave war and battle alone, can you not be contented with beguiling silly women?
homer-iliad-850_06		homer-iliad-850_06		4997	171		73	./cache/homer-iliad-850_06.txt	./txt/homer-iliad-850_06.txt	Tell her to bid the matrons gather at the temple of Minerva in the acropolis; let her then take her key and open the doors of the sacred building; there, upon the knees of Minerva, let her lay the largest, fairest robe she has in her house-the one she sets most store by; let her, moreover, promise to sacrifice twelve yearling heifers that have never yet felt the goad, in the temple of the goddess, if she will take pity on the town, with the wives and little ones of the Trojans, and keep the son of Tydeus from falling on the goodly city of Ilius; for he fights with fury and fills men ''s souls with panic.
homer-iliad-850_07		homer-iliad-850_07		4434	153		74	./cache/homer-iliad-850_07.txt	./txt/homer-iliad-850_07.txt	Hector and Ajax fight--Hector is getting worsted when night comes on and parts them--They exchange presents--The burial of the dead, and the building of a wall round their ships by the Achaeans--The Achaeans buy their wine of Agamemnon and Menelaus. Apollo, son of Jove, replied," Let us incite great Hector to challenge some one of the Danaans in single combat; on this the Achaeans will be shamed into finding a man who will fight him." He found the Danaans, servants of Mars, in council at the stern of Agamemnon ''s ship, and took his place in the midst of them." Son of Atreus," he said," and princes of the Achaean host, Priam and the other noble Trojans have sent me to tell you the saying of Alexandrus through whom this quarrel has come about, if so be that you may find it acceptable.
homer-iliad-850_08		homer-iliad-850_08		5346	184		73	./cache/homer-iliad-850_08.txt	./txt/homer-iliad-850_08.txt	Jove forbids the gods to interfere further--There is an even fight till midday, but then Jove inclines the scales of victory in favour of the Trojans, who eventually chase the Achaeans within their wall--Juno and Minerva set out to help the Trojans: Jove sends Iris to turn them back, but later on he promises Juno that she shall have her way in the end--Hector''s triumph is stayed by nightfall--The Trojans bivouac on the plain. Hector was greatly grieved at the loss of his charioteer, but let him lie for all his sorrow, while he went in quest of another driver; nor did his steeds have to go long without one, for he presently found brave Archeptolemus the son of Iphitus, and made him get up behind the horses, giving the reins into his hand.
homer-iliad-850_09		homer-iliad-850_09		6877	236		75	./cache/homer-iliad-850_09.txt	./txt/homer-iliad-850_09.txt	Menservants poured water over the hands of the guests, while pages filled the mixingbowls with wine and water, and handed it round after giving every man his drinkoffering; then, when they had made their offerings, and had drunk each as much as he was minded, the envoys set out from the tent of Agamemnon son of Atreus; and Nestor, looking first to one and then to another, but most especially at Ulysses, was instant with them that they should prevail with the noble son of Peleus. They all held their peace, dismayed at the sternness with which he had denied them, till presently the old knight Phoenix in his great fear for the ships of the Achaeans, burst into tears and said," Noble Achilles, if you are now minded to return, and in the fierceness of your anger will do nothing to save the ships from burning, how, my son, can I remain here without you?
homer-iliad-850_10		homer-iliad-850_10		5541	207		78	./cache/homer-iliad-850_10.txt	./txt/homer-iliad-850_10.txt	The two Ajaxes, servants of Mars, Meriones, and the son of Nestor all wanted to go, so did Menelaus son of Atreus; Ulysses also wished to go among the host of the Trojans, for he was ever full of daring, and thereon Agamemnon king of men spoke thus:" Diomed," said he," son of Tydeus, man after my own heart, choose your comrade for yourself-take the best man of those that have offered, for many would now go with you. Diomed looked sternly at him and answered," Think not, Dolon, for all the good information you have given us, that you shall escape now you are in our hands, for if we ransom you or let you go, you will come some second time to the ships of the Achaeans either as a spy or as an open enemy, but if I kill you and an end of you, you will give no more trouble."
homer-iliad-850_11		homer-iliad-850_11		8571	250		69	./cache/homer-iliad-850_11.txt	./txt/homer-iliad-850_11.txt	But when he was just about to reach the high wall and the city, the father of gods and men came down from heaven and took his seat, thunderbolt in hand, upon the crest of manyfountained Ida. He then told Iris of the golden wings to carry a message for him." Go," said he," fleet Iris, and speak thus to Hector-say that so long as he sees Agamemnon heading his men and making havoc of the Trojan ranks, he is to keep aloof and bid the others bear the brunt of the battle, but when Agamemnon is wounded either by spear or arrow, and takes to his chariot, then will I vouchsafe him strength to slay till he reach the ships and night falls at the going down of the sun."
homer-iliad-850_12		homer-iliad-850_12		4765	129		67	./cache/homer-iliad-850_12.txt	./txt/homer-iliad-850_12.txt	The Trojans led by him and by Iamenus, Orestes, Adamas the son of Asius, Thoon and Oenomaus, raised a loud cry of battle and made straight for the wall, holding their shields of dry oxhide above their heads; for a while the two defenders remained inside and cheered the Achaeans on to stand firm in the defence of their ships; when, however, they saw that the Trojans were attacking the wall, while the Danaans were crying out for help and being routed, they rushed outside and fought in front of the gates like two wild boars upon the mountains that abide the attack of men and dogs, and charging on either side break down the wood all round them tearing it up by the roots, and one can hear the clattering of their tusks, till some one hits them and makes an end of them-even so did the gleaming bronze rattle about their breasts, as the weapons fell upon them; for they fought with great fury, trusting to their own prowess and to those who were on the wall above them.
homer-iliad-850_13		homer-iliad-850_13		8410	241		68	./cache/homer-iliad-850_13.txt	./txt/homer-iliad-850_13.txt	The Trojans advanced in a dense body, with Hector at their head pressing right on as a rock that comes thundering down the side of some mountain from whose brow the winter torrents have torn it; the foundations of the dull thing have been loosened by floods of rain, and as it bounds headlong on its way it sets the whole forest in an uproar; it swerves neither to right nor left till it reaches level ground, but then for all its fury it can go no further-even so easily did Hector for a while seem as though he would career through the tents and ships of the Achaeans till he had reached the sea in his murderous course; but the closely serried battalions stayed him when he reached them, for the sons of the Achaeans thrust at him with swords and spears pointed at both ends, and drove him from them so that he staggered and gave ground; thereon he shouted to the Trojans," Trojans, Lycians, and Dardanians, fighters in close combat, stand firm: the Achaeans have set themselves as a wall against me, but they will not check me for long; they will give ground before me if the mightiest of the gods, the thundering spouse of Juno, has indeed inspired my onset."
homer-iliad-850_14		homer-iliad-850_14		5256	168		72	./cache/homer-iliad-850_14.txt	./txt/homer-iliad-850_14.txt	The Trojans are fighting stubbornly and without ceasing at the ships; look where you may you can not see from what quarter the rout of the Achaeans is coming; they are being killed in a confused mass and the battlecry ascends to heaven; let us think, if counsel can be of any use, what we had better do; but I do not advise our going into battle ourselves, for a man can not fight when he is wounded." And King Agamemnon answered," Nestor, if the Trojans are indeed fighting at the rear of our ships, and neither the wall nor the trench has served us-over which the Danaans toiled so hard, and which they deemed would be an impregnable bulwark both for us and our fleet-I see it must be the will of Jove that the Achaeans should perish ingloriously here, far from Argos.
homer-iliad-850_15		homer-iliad-850_15		7424	242		73	./cache/homer-iliad-850_15.txt	./txt/homer-iliad-850_15.txt	Juno trembled as he spoke, and said," May heaven above and earth below be my witnesses, with the waters of the river Styx-and this is the most solemn oath that a blessed god can take-nay ,I swear also by your own almighty head and by our bridal bed-things over which I could never possibly perjure myself-that Neptune is not punishing Hector and the Trojans and helping the Achaeans through any doing of mine; it is all of his own mere motion because he was sorry to see the Achaeans hard pressed at their ships: if I were advising him, I should tell him to do as you bid him." If, then, you are speaking the truth and mean what you say, go among the rank and file of the gods, and tell Iris and Apollo lord of the bow, that I want them-Iris, that she may go to the Achaean host and tell Neptune to leave off fighting and go home, and Apollo, that he may send Hector again into battle and give him fresh strength ;he will thus forget his present sufferings, and drive the Achaeans back in confusion till they fall among the ships of Achilles son of Peleus.
homer-iliad-850_16		homer-iliad-850_16		8943	274		70	./cache/homer-iliad-850_16.txt	./txt/homer-iliad-850_16.txt	Fire being now thrown on the ship of Protesilaus, Patroclus fights in the armour of Achilles--He drives the Trojans back, but is in the end killed by Euphorbus and Hector. Still, let bygones be bygones: no man may keep his anger for ever; I said I would not relent till battle and the cry of war had reached my own ships; nevertheless, now gird my armour about your shoulders, and lead the Myrmidons to battle, for the dark cloud of Trojans has burst furiously over our fleet; the Argives are driven back on to the beach, cooped within a narrow space, and the whole people of Troy has taken heart to sally out against them, because they see not the visor of my helmet gleaming near them.
homer-iliad-850_17		homer-iliad-850_17		7293	214		70	./cache/homer-iliad-850_17.txt	./txt/homer-iliad-850_17.txt	But Ajax came up with his shield like wall before him, on which Hector withdrew under shelter of his men, and sprang on to his chariot, giving the armour over to the Trojans to take to the city, as a great trophy for himself; Ajax, therefore, covered the body of Patroclus with his broad shield and bestrode him; as a lion stands over his whelps if hunters have come upon him in a forest when he is with his little ones-in the pride and fierceness of his strength he draws his knit brows down till they cover his eyes-even so did Ajax bestride the body of Patroclus, and by his side stood Menelaus son of Atreus, nursing great sorrow in his heart.
homer-iliad-850_18		homer-iliad-850_18		6047	201		74	./cache/homer-iliad-850_18.txt	./txt/homer-iliad-850_18.txt	As the smoke that goes up into heaven from some city that is being beleaguered on an island far out at sea-all day long do men sally from the city and fight their hardest, and at the going down of the sun the line of beaconfires blazes forth, flaring high for those that dwell near them to behold, if so be that they may come with their ships and succour them-even so did the light flare from the head of Achilles, as he stood by the trench, going beyond the wall-but he did not join the Achaeans for he heeded the charge which his mother laid upon him.
homer-iliad-850_19		homer-iliad-850_19		4033	131		74	./cache/homer-iliad-850_19.txt	./txt/homer-iliad-850_19.txt	When the Achaeans were got together Achilles rose and said," Son of Atreus, surely it would have been better alike for both you and me, when we two were in such high anger about Briseis, surely it would have been better, had Diana ''s arrow slain her at the ships on the day when I took her after having sacked Lyrnessus. Then Ulysses said," Achilles, godlike and brave, send not the Achaeans thus against Ilius to fight the Trojans fasting, for the battle will be no brief one, when it is once begun, and heaven has filled both sides with fury; bid them first take food both bread and wine by the ships, for in this there is strength and stay.
homer-iliad-850_20		homer-iliad-850_20		5039	170		73	./cache/homer-iliad-850_20.txt	./txt/homer-iliad-850_20.txt	His spear has already put me to flight from Ida, when he attacked our cattle and sacked Lyrnessus and Pedasus; Jove indeed saved me in that he vouchsafed me strength to fly, else had I fallen by the hands of Achilles and Minerva, who went before him to protect him and urged him to fall upon the Lelegae and Trojans. She called the gods about her, and said," Look to it, you two, Neptune and Minerva, and consider how this shall be; Phoebus Apollo has been sending Aeneas clad in full armour to fight Achilles. Meanwhile Hector called upon the Trojans and declared that he would fight Achilles." Be not afraid, proud Trojans," said he," to face the son of Peleus; I could fight gods myself if the battle were one of words only, but they would be more than a match for me, if we had to use our spears.
homer-iliad-850_21		homer-iliad-850_21		6221	212		75	./cache/homer-iliad-850_21.txt	./txt/homer-iliad-850_21.txt	The dark waters of the river stood upright and would have overwhelmed the son of Peleus, but Juno, trembling lest Achilles should be swept away in the mighty torrent, lifted her voice on high and called out to Vulcan her son." Crookfoot," she cried," my child, be up and doing, for I deem it is with you that Xanthus is fain to fight; help us at once, kindle a fierce fire; I will then bring up the west and the white south wind in a mighty hurricane from the sea, that shall bear the flames against the heads and armour of the Trojans and consume them, while you go along the banks of Xanthus burning his trees and wrapping him round with fire.
homer-iliad-850_22		homer-iliad-850_22		5477	164		71	./cache/homer-iliad-850_22.txt	./txt/homer-iliad-850_22.txt	Thereon Minerva went close up to the son of Peleus and said," Noble Achilles, favoured of heaven, we two shall surely take back to the ships a triumph for the Achaeans by slaying Hector, for all his lust of battle. Then Minerva said," Dear brother, my father and mother went down on their knees and implored me, as did all my comrades, to remain inside, so great a fear has fallen upon them all; but I was in an agony of grief when I beheld you; now, therefore, let us two make a stand and fight, and let there be no keeping our spears in reserve, that we may learn whether Achilles shall kill us and bear off our spoils to the ships, or whether he shall fall before you."
homer-iliad-850_23		homer-iliad-850_23		8987	292		74	./cache/homer-iliad-850_23.txt	./txt/homer-iliad-850_23.txt	As soon as they reached Agamemnon ''s tent they told the servingmen to set a large tripod over the fire in case they might persuade the son of Peleus to wash the clotted gore from this body, but he denied them sternly, and swore it with a solemn oath, saying," Nay, by King Jove, first and mightiest of all gods, it is not meet that water should touch my body, till I have laid Patroclus on the flames, have built him a barrow, and shaved my head-for so long as I live no such second sorrow shall ever draw nigh me. Thus did he speak and the others all of them applauded his saying, and were for doing as he had said, but Nestor ''s son Antilochus stood up and claimed his rights from the son of Peleus." Achilles," said he," I shall take it much amiss if you do this thing; you would rob me of my prize, because you think Eumelus ''s chariot and horses were thrown out, and himself too, good man that he is.
