noun	verb	frequency
he	was	484
he	had	360
you	are	322
i	am	294
it	is	263
i	have	247
you	have	246
he	is	223
it	was	183
they	were	180
they	had	171
i	was	149
he	has	127
he	spoke	123
he	said	106
they	are	102
i	had	91
he	went	81
he	fell	80
we	have	78
he	did	74
she	had	74
you	were	74
she	was	70
they	have	67
he	took	66
i	do	63
he	saw	59
we	are	54
i	know	48
we	had	48
i	saw	45
i	were	44
he	came	43
he	made	43
we	were	43
i	say	42
she	went	42
he	were	41
they	went	39
you	had	38
he	speak	37
they	took	36
he	gave	35
heaven	has	35
it	had	35
they	came	34
he	stood	33
i	see	33
she	said	33
achaeans	were	32
she	is	32
they	did	32
he	heard	31
he	set	31
you	do	31
it	were	30
they	saw	30
ulysses	was	30
you	know	30
he	left	29
they	made	29
it	be	27
jove	has	26
she	spoke	26
you	come	26
you	go	26
ulysses	answered	25
they	heard	24
it	has	23
he	be	22
he	sent	22
i	said	22
man	is	22
gods	are	21
they	set	21
he	got	20
i	go	20
i	took	20
i	went	20
she	has	20
she	took	20
he	told	19
minerva	had	19
spear	went	19
achaeans	are	18
gods	have	18
he	found	18
he	lay	18
him	saying	18
i	take	18
men	are	18
they	say	18
they	stood	18
you	be	18
you	say	18
he	held	17
he	killed	17
i	did	17
i	tell	17
men	were	17
she	came	17
he	knew	16
he	let	16
i	made	16
she	found	16
trojans	were	16
hector	was	15
it	came	15
jove	had	15
man	had	15
we	know	15
you	get	15
he	kept	14
i	came	14
i	heard	14
i	left	14
jove	is	14
us	go	14
we	went	14
you	take	14
achilles	had	13
him	go	13
ulysses	said	13
us	be	13
we	got	13
achilles	answered	12
achilles	is	12
achilles	was	12
he	brought	12
he	comes	12
heart	was	12
i	come	12
jove	was	12
man	has	12
minerva	came	12
she	did	12
she	made	12
they	fell	12
they	fought	12
they	found	12
they	got	12
ulysses	is	12
you	saw	12
achaeans	had	11
father	is	11
god	had	11
he	says	11
i	gave	11
i	got	11
minerva	said	11
she	saw	11
she	stood	11
telemachus	said	11
they	do	11
ulysses	had	11
we	came	11
we	do	11
you	see	11
god	has	10
hand	fight	10
horses	were	10
i	told	10
man	was	10
me	go	10
she	heard	10
she	set	10
you	did	10
hector	is	9
i	sent	9
minerva	went	9
she	gave	9
she	told	9
they	brought	9
they	know	9
they	left	9
trojans	are	9
you	answered	9
you	keep	9
you	leave	9
you	left	9
achaeans	have	8
father	was	8
gods	had	8
heaven	had	8
hector	saw	8
him	were	8
i	give	8
i	knew	8
i	make	8
minerva	answered	8
people	are	8
people	have	8
she	bore	8
she	fell	8
telemachus	answered	8
telemachus	went	8
they	kept	8
we	took	8
you	make	8
he	does	7
heart	is	7
horses	are	7
i	answered	7
it	made	7
jove	answered	7
me	have	7
me	tell	7
men	had	7
one	was	7
she	left	7
son	has	7
them	went	7
they	be	7
they	fight	7
they	gave	7
they	go	7
they	see	7
trojans	had	7
trojans	have	7
ulysses	went	7
you	set	7
achilles	has	6
gods	were	6
he	answered	6
he	goes	6
hector	answered	6
hector	had	6
him	take	6
his	having	6
his	stand	6
it	fell	6
it	lies	6
it	went	6
me	do	6
men	have	6
minerva	has	6
minerva	took	6
minerva	was	6
one	is	6
people	were	6
son	is	6
son	was	6
spear	was	6
them	come	6
them	saying	6
they	bore	6
they	come	6
ulysses	has	6
us	see	6
we	did	6
we	found	6
you	made	6
you	stand	6
achilles	went	5
body	was	5
he	bore	5
he	come	5
he	fought	5
he	lies	5
he	makes	5
he	sees	5
heaven	was	5
hector	has	5
him	fall	5
him	lie	5
i	bring	5
i	find	5
i	hear	5
i	killed	5
i	lay	5
i	set	5
it	comes	5
it	coming	5
it	does	5
jove	gave	5
jove	sent	5
minerva	heard	5
one	had	5
one	say	5
she	knew	5
ships	are	5
spear	did	5
telemachus	had	5
them	be	5
them	came	5
them	have	5
them	was	5
them	were	5
they	fall	5
they	knew	5
they	lie	5
they	said	5
they	sent	5
trojans	came	5
us	give	5
us	make	5
we	made	5
we	set	5
we	take	5
you	fall	5
achaeans	be	4
achaeans	came	4
achaeans	did	4
achilles	said	4
achilles	took	4
day	did	4
days	had	4
gods	know	4
gods	was	4
hand	was	4
he	gets	4
he	go	4
he	hear	4
he	knows	4
he	make	4
he	takes	4
heaven	sent	4
her	have	4
him	come	4
him	do	4
him	get	4
him	give	4
him	have	4
him	keep	4
him	was	4
him	went	4
his	being	4
his	hold	4
house	is	4
house	was	4
i	are	4
i	brought	4
i	fought	4
i	found	4
i	hold	4
i	kept	4
i	leave	4
i	let	4
i	stand	4
it	did	4
jove	heard	4
jove	said	4
man	go	4
me	is	4
men	fighting	4
men	stood	4
minerva	made	4
minerva	sent	4
one	has	4
people	fell	4
she	brought	4
she	held	4
ship	was	4
son	had	4
spear	has	4
telemachus	is	4
telemachus	spoke	4
telemachus	was	4
them	had	4
them	take	4
they	speak	4
they	tell	4
ulysses	got	4
ulysses	took	4
us	set	4
you	been	4
you	came	4
you	fight	4
you	gave	4
you	going	4
you	kill	4
you	let	4
you	lie	4
you	tell	4
you	took	4
achaeans	was	3
achaeans	went	3
achilles	saw	3
city	is	3
city	was	3
days	are	3
days	did	3
father	has	3
god	is	3
god	were	3
gods	came	3
gods	do	3
gods	has	3
hand	is	3
hands	are	3
hands	were	3
he	gives	3
he	take	3
head	fell	3
head	was	3
heaven	be	3
heaven	is	3
hector	did	3
hector	made	3
hector	said	3
hector	took	3
her	go	3
him	coming	3
him	did	3
him	leave	3
him	send	3
his	saying	3
i	bore	3
i	fight	3
i	get	3
i	speak	3
it	go	3
it	lay	3
it	left	3
it	makes	3
jove	gives	3
jove	sends	3
man	went	3
me	are	3
me	be	3
me	fight	3
men	came	3
men	did	3
men	fall	3
men	say	3
my	being	3
my	having	3
people	do	3
she	does	3
she	goes	3
she	speak	3
ship	is	3
ship	went	3
ships	had	3
ships	have	3
ships	were	3
sons	were	3
telemachus	came	3
telemachus	saw	3
telemachus	took	3
their	fall	3
them	coming	3
them	fell	3
them	left	3
them	say	3
they	bring	3
they	held	3
they	keep	3
they	killed	3
they	lay	3
they	make	3
they	stand	3
they	take	3
they	told	3
trojans	saw	3
trojans	saying	3
ulysses	came	3
ulysses	did	3
ulysses	gave	3
ulysses	killed	3
ulysses	saw	3
us	do	3
us	take	3
we	be	3
we	come	3
we	give	3
we	go	3
we	keep	3
we	lay	3
we	let	3
we	saw	3
we	stood	3
women	are	3
you	find	3
you	hear	3
you	is	3
you	knew	3
you	taking	3
you	told	3
achaeans	brought	2
achaeans	find	2
achaeans	is	2
achaeans	say	2
achaeans	stood	2
achaeans	took	2
achilles	brought	2
achilles	came	2
achilles	gave	2
achilles	spoke	2
achilles	told	2
bodies	were	2
day	had	2
day	is	2
days	gone	2
father	had	2
father	sent	2
father	went	2
fathers	were	2
god	came	2
god	set	2
god	took	2
god	went	2
gods	bring	2
gods	gave	2
gods	give	2
gods	stand	2
gods	went	2
hands	be	2
he	do	2
he	fights	2
he	finds	2
he	keeps	2
he	kill	2
he	lie	2
he	sends	2
he	stand	2
head	saying	2
head	were	2
hearts	took	2
hearts	were	2
heaven	send	2
heaven	sends	2
heaven	were	2
hector	being	2
hector	fall	2
hector	fell	2
hector	held	2
hector	killed	2
hector	left	2
hector	let	2
hector	say	2
hector	saying	2
hector	spoke	2
hector	takes	2
her	come	2
her	do	2
her	doing	2
her	give	2
her	stand	2
him	be	2
him	came	2
him	had	2
him	is	2
him	made	2
him	speak	2
him	standing	2
him	tell	2
himself	be	2
himself	was	2
his	fall	2
horses	bore	2
horses	did	2
horses	have	2
horses	stood	2
horses	went	2
house	has	2
house	have	2
i	been	2
i	fall	2
i	fallen	2
i	held	2
i	keep	2
i	kill	2
i	lie	2
i	spoke	2
i	stood	2
it	said	2
it	stands	2
it	took	2
jove	be	2
jove	let	2
jove	takes	2
king	said	2
king	was	2
man	born	2
man	came	2
man	did	2
man	saw	2
man	take	2
me	bring	2
me	come	2
me	lies	2
me	say	2
me	set	2
me	take	2
men	fell	2
men	gave	2
men	let	2
men	said	2
men	spoke	2
men	was	2
minerva	did	2
minerva	left	2
minerva	saw	2
minerva	set	2
minerva	were	2
myself	be	2
myself	go	2
one	came	2
one	comes	2
one	going	2
our	being	2
our	stand	2
people	be	2
people	came	2
people	going	2
people	heard	2
people	speak	2
sea	came	2
sea	have	2
sea	told	2
she	answered	2
she	be	2
she	got	2
she	knows	2
she	makes	2
she	says	2
she	were	2
ship	had	2
son	leave	2
sons	are	2
sons	born	2
sons	left	2
spear	fell	2
telemachus	told	2
them	do	2
them	fight	2
them	fighting	2
them	has	2
them	lie	2
them	said	2
they	find	2
they	get	2
they	give	2
they	hear	2
they	leave	2
they	spoke	2
trojans	did	2
trojans	fell	2
trojans	held	2
trojans	is	2
trojans	made	2
ulysses	come	2
ulysses	heard	2
ulysses	knew	2
ulysses	lay	2
ulysses	left	2
ulysses	made	2
ulysses	standing	2
ulysses	stood	2
us	had	2
us	is	2
us	lie	2
us	stand	2
way	did	2
we	brought	2
we	fight	2
we	fought	2
we	gave	2
we	get	2
we	held	2
we	kept	2
woman	had	2
woman	took	2
women	were	2
you	bear	2
you	bore	2
you	brought	2
you	gone	2
you	said	2
you	saying	2
you	speak	2
your	coming	2
yourself	be	2
achaeans	bear	1
achaeans	bearing	1
achaeans	bring	1
achaeans	do	1
achaeans	fall	1
achaeans	fell	1
achaeans	fight	1
achaeans	fought	1
achaeans	give	1
achaeans	hear	1
achaeans	lay	1
achaeans	left	1
achaeans	make	1
achaeans	sent	1
achaeans	speak	1
achaeans	spoken	1
achaeans	take	1
achaeans	taken	1
achilles	be	1
achilles	bear	1
achilles	bore	1
achilles	bring	1
achilles	come	1
achilles	coming	1
achilles	did	1
achilles	fight	1
achilles	fights	1
achilles	killed	1
achilles	kills	1
achilles	lay	1
achilles	made	1
achilles	make	1
achilles	saying	1
achilles	sees	1
achilles	set	1
achilles	speak	1
achilles	were	1
bodies	are	1
bodies	be	1
body	fell	1
body	go	1
cities	did	1
cities	have	1
city	are	1
city	bearing	1
city	saying	1
day	came	1
day	come	1
day	does	1
day	fall	1
day	has	1
day	lay	1
day	set	1
days	be	1
father	''s	1
father	answered	1
father	came	1
father	come	1
father	did	1
father	knew	1
father	left	1
father	let	1
father	made	1
father	said	1
father	say	1
father	stood	1
fathers	tell	1
god	answered	1
god	come	1
god	comes	1
god	does	1
god	left	1
god	said	1
god	sent	1
god	take	1
gods	be	1
gods	brought	1
gods	coming	1
gods	did	1
gods	fight	1
gods	fighting	1
gods	go	1
gods	held	1
gods	hold	1
gods	is	1
gods	killed	1
gods	make	1
gods	saying	1
gods	see	1
gods	sent	1
gods	taken	1
gods	took	1
hand	fall	1
hand	fell	1
hand	has	1
hand	saying	1
hand	went	1
hands	took	1
he	bears	1
he	been	1
he	being	1
he	bring	1
he	brings	1
he	fall	1
he	find	1
he	give	1
he	gone	1
he	have	1
he	hears	1
he	holds	1
he	kills	1
he	know	1
he	leave	1
he	leaves	1
he	lets	1
he	stands	1
he	taking	1
he	tells	1
head	came	1
head	is	1
head	making	1
heads	were	1
heart	answered	1
heart	be	1
heart	has	1
heart	made	1
heart	stood	1
heart	were	1
hearts	fell	1
heaven	are	1
heaven	brings	1
heaven	did	1
heaven	give	1
heaven	have	1
heaven	saying	1
heaven	took	1
hector	bears	1
hector	came	1
hector	come	1
hector	go	1
hector	going	1
hector	got	1
hector	heard	1
hector	holds	1
hector	kept	1
hector	knew	1
hector	lay	1
hector	leaving	1
hector	lying	1
hector	make	1
hector	send	1
hector	sent	1
hector	went	1
her	bringing	1
her	came	1
her	get	1
her	had	1
her	has	1
her	hold	1
her	know	1
her	lie	1
her	told	1
hers	was	1
herself	borne	1
herself	came	1
herself	had	1
herself	know	1
herself	was	1
him	gave	1
him	hear	1
him	hold	1
him	killed	1
him	killing	1
him	lies	1
him	make	1
him	making	1
him	said	1
him	say	1
him	see	1
him	sent	1
him	set	1
him	took	1
himself	come	1
himself	fell	1
himself	given	1
himself	had	1
himself	is	1
himself	knows	1
himself	saying	1
himself	told	1
himself	went	1
himself	were	1
his	are	1
his	coming	1
his	getting	1
his	leave	1
his	leaving	1
horse	keep	1
horses	came	1
horses	got	1
horses	saying	1
horses	was	1
house	are	1
house	bringing	1
house	did	1
house	had	1
house	knew	1
house	were	1
houses	fall	1
i	be	1
i	bear	1
i	being	1
i	falling	1
i	seen	1
i	send	1
it	are	1
it	been	1
it	bore	1
it	bring	1
it	brings	1
it	fall	1
it	get	1
it	goes	1
it	have	1
it	held	1
it	keeping	1
it	killed	1
it	send	1
it	sets	1
it	stood	1
it	takes	1
its	stand	1
itself	had	1
itself	was	1
itself	went	1
jove	bore	1
jove	bring	1
jove	came	1
jove	did	1
jove	does	1
jove	fell	1
jove	knew	1
jove	left	1
jove	made	1
jove	make	1
jove	makes	1
jove	making	1
jove	saw	1
jove	says	1
jove	stood	1
jove	take	1
jove	went	1
jove	were	1
king	had	1
king	keeps	1
king	knew	1
king	lying	1
king	told	1
kings	is	1
man	''s	1
man	am	1
man	be	1
man	comes	1
man	do	1
man	does	1
man	fall	1
man	falls	1
man	fell	1
man	fights	1
man	gave	1
man	get	1
man	gets	1
man	gives	1
man	hold	1
man	keeping	1
man	killed	1
man	knew	1
man	knows	1
man	lie	1
man	made	1
man	says	1
man	sent	1
man	stands	1
man	stood	1
man	were	1
me	being	1
me	find	1
me	get	1
me	give	1
me	had	1
me	killed	1
me	lay	1
me	let	1
me	make	1
me	see	1
me	stand	1
me	taking	1
men	been	1
men	being	1
men	born	1
men	bring	1
men	come	1
men	fought	1
men	found	1
men	give	1
men	go	1
men	kept	1
men	killed	1
men	lay	1
men	made	1
men	make	1
men	making	1
men	saw	1
men	stand	1
men	took	1
men	went	1
mine	are	1
minerva	gave	1
minerva	go	1
minerva	goes	1
minerva	going	1
minerva	leave	1
minerva	sees	1
minerva	told	1
my	answer	1
my	getting	1
my	leave	1
my	leaving	1
my	say	1
my	stand	1
myself	gave	1
myself	give	1
myself	have	1
myself	made	1
myself	saw	1
one	does	1
one	giving	1
one	go	1
one	gone	1
one	have	1
one	kept	1
one	knew	1
one	know	1
one	lying	1
one	made	1
one	said	1
one	saying	1
one	sent	1
one	speaks	1
one	were	1
our	answer	1
our	doing	1
our	finding	1
our	going	1
our	knowing	1
ours	fall	1
people	am	1
people	born	1
people	bring	1
people	come	1
people	fight	1
people	give	1
people	go	1
people	hold	1
people	kept	1
people	make	1
people	saw	1
people	say	1
people	stood	1
people	tell	1
people	took	1
people	was	1
people	went	1
sea	are	1
sea	comes	1
sea	got	1
sea	had	1
sea	is	1
sea	said	1
sea	stood	1
sea	took	1
sea	was	1
sea	were	1
she	bear	1
she	being	1
she	comes	1
she	find	1
she	gets	1
she	gives	1
she	hears	1
she	kept	1
she	killed	1
she	lay	1
she	leaves	1
she	let	1
she	lying	1
she	make	1
she	sees	1
she	sent	1
she	sets	1
she	takes	1
ship	be	1
ship	coming	1
ship	go	1
ship	got	1
ship	has	1
ship	have	1
ship	lying	1
ships	being	1
ships	gave	1
ships	go	1
ships	held	1
ships	taking	1
ships	went	1
son	came	1
son	come	1
son	comes	1
son	did	1
son	fall	1
son	fallen	1
son	fell	1
son	found	1
son	have	1
son	left	1
son	made	1
son	stands	1
son	stood	1
sons	done	1
sons	go	1
sons	had	1
sons	went	1
spear	coming	1
spear	going	1
spear	held	1
spear	is	1
spears	came	1
spears	held	1
telemachus	comes	1
telemachus	did	1
telemachus	does	1
telemachus	gave	1
telemachus	goes	1
telemachus	got	1
telemachus	has	1
telemachus	heard	1
telemachus	knew	1
telemachus	makes	1
telemachus	says	1
telemachus	sends	1
telemachus	were	1
their	coming	1
their	doing	1
their	leave	1
their	seeing	1
their	stand	1
theirs	were	1
them	are	1
them	did	1
them	fought	1
them	give	1
them	hold	1
them	holding	1
them	is	1
them	kill	1
them	leave	1
them	lying	1
them	made	1
them	see	1
them	sent	1
them	stand	1
them	stood	1
themselves	are	1
themselves	be	1
themselves	had	1
themselves	know	1
themselves	were	1
they	bear	1
they	let	1
they	seen	1
trojans	be	1
trojans	been	1
trojans	come	1
trojans	do	1
trojans	fight	1
trojans	give	1
trojans	has	1
trojans	heard	1
trojans	kept	1
trojans	leave	1
trojans	speak	1
trojans	take	1
trojans	was	1
ulysses	brought	1
ulysses	comes	1
ulysses	fell	1
ulysses	get	1
ulysses	held	1
ulysses	kept	1
ulysses	lying	1
ulysses	taken	1
ulysses	told	1
us	are	1
us	bring	1
us	come	1
us	did	1
us	fall	1
us	fell	1
us	fight	1
us	have	1
us	keep	1
us	keeping	1
us	kill	1
us	knew	1
us	leave	1
us	making	1
us	said	1
us	say	1
us	seen	1
us	send	1
us	was	1
way	has	1
way	is	1
way	say	1
way	taken	1
way	was	1
we	fall	1
we	fell	1
we	heard	1
we	hold	1
we	kill	1
we	killed	1
we	leave	1
we	left	1
we	make	1
we	say	1
we	see	1
we	send	1
woman	came	1
woman	has	1
woman	is	1
woman	left	1
woman	said	1
woman	saw	1
woman	was	1
women	bore	1
women	came	1
women	got	1
women	had	1
women	have	1
women	leave	1
women	made	1
women	stood	1
women	take	1
you	bearing	1
you	being	1
you	fallen	1
you	fighting	1
you	fought	1
you	give	1
you	has	1
you	heard	1
you	hold	1
you	killed	1
you	killing	1
you	send	1
you	sent	1
you	spoke	1
your	answer	1
your	being	1
your	having	1
your	hold	1
your	keep	1
your	leave	1
yours	are	1
yourself	fighting	1
yourself	go	1
yourself	going	1
yourself	has	1
yourself	have	1
yourself	seen	1
yourself	took	1
